N,1 thread,2 threads,4 threads,8 threads
100,7.725,6.506,5.886,13.632
200,28.224,17.596,15.275,28.795
300,63.554,35.049,23.831,44.564
400,118.047,58.067,39.914,64.099
500,158.796,84.334,61.206,85.56
600,231.58,136.259,91.276,112.839
700,376.188,203.878,133.739,146.906
800,532.617,295.05,182.225,183.079
900,846.773,414.97,246.473,223.668
1000,1008.22,548.712,322.558,283.557
1100,1305.89,724.277,415.029,333.008
1200,1734.81,919.793,524.468,400.118
1300,2195.55,1147.04,651.23,481.937
1400,2654.94,1426.35,801.21,566.443
1500,3273.25,1759.89,959.604,667.121
1600,4008.18,2084.87,1142.71,782.813
1700,4709.08,2540.49,1405.47,940.125
1800,5661.83,3019.96,1620.33,1076.56
1900,6523.97,3565.66,1919.76,1248.95
